brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM Spray 3.3 oz / 100 ml New & Sealed.,Eau de Parfum,59.99,3.0,20.0,1199.8,man,23-5-2024,United States,Texas,Lubbock
Lancôme,Abercrombie & Fitch Fierce Cologne 6.7 oz for men New Sealed Ships Free,Eau de Cologne,39.99,3.0,275.0,10997.25,man,24-5-2024,United States,California,Carlsbad
Dolce & Gabbana,USA K by Dolce & Gabbana cologne for men EDT 3.3 / 3.4 oz in Box New,Eau de Toilette,36.99,2.0,98.0,3625.02,man,23-5-2024,United States,New York,College Point
Ralph Lauren,Citizen Jack Absolute by Micheal Malul for Men 3.4 FL OZ. Eau De Parfum,Eau de Parfum,79.99,6.0,18.0,1439.82,man,15-5-2024,United States,Georgia,Jonesboro
Yves Saint Laurent,Aramis by Aramis EDT Cologne spray for Men 3.7 oz Brand New In Box,Eau de Toilette,21.01,272.0,2486.0,52230.86,man,21-5-2024,United States,Texas,Dallas
Versace,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Eau de Parfum,6.97,10.0,803.0,5596.91,man,21-5-2024,United States,California,San Francisco
Yves Saint Laurent,Yves Saint Laurent Y Men's Eau De Parfum Intense 3.4 oz/ 100 ml,Eau de Parfum,65.68,10.0,11.0,722.48,man,22-5-2024,United States,California,Sacramento
Carolina Herrera,"Jean Paul Gaultier Le Male - Timeless 4.2oz Men's Eau de Toilette, Sealed",Eau de Toilette,51.99,10.0,73.0,3795.27,man,22-5-2024,United States,Michigan,Dearborn Heights
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM 3.3 fl oz / 100 ml Spray New & Sealed In Box,Eau de Parfum,60.99,2.0,27.0,1646.73,man,24-5-2024,United States,California,Santa Cruz
Calvin Klein,Cool Water by Davidoff 4.2 oz Eau De Toilette Cologne Spray Men's New In Box,Eau de Toilette,25.49,4.0,64.0,1631.36,man,24-5-2024,United States,Maryland,Baltimore
Ralph Lauren,POLO RED BY RALPH LAUREN 6.7 FL OZ / 200 ML EAU DE TOILETTE SPRAY NEW & SEALED,Eau de Toilette,41.99,2.0,38.0,1595.62,man,19-5-2024,United States,Pennsylvania,Reinholds
Dolce & Gabbana,Tres Nuit by Armaf 3.4 oz EDP Cologne for Men New In Box,Eau de Parfum,27.3,10.0,179.0,4886.7,man,24-5-2024,United States,New Jersey,Hackensack
Versace,New Bvlgari Pour Homme Men's Eau De Toilette Spray 3.4 oz/ 100 ml,Eau de Toilette,45.68,10.0,5.0,228.4,man,22-5-2024,United States,California,Sacramento
Versace,SAUVAGE by Christian Dior EDP For Men 6.8 oz / 200 ml *NEW IN SEALED BOX*,Eau de Parfum,159.99,10.0,160.0,25598.4,man,16-5-2024,United States,Florida,Miami
Ralph Lauren,Polo Green by Ralph Lauren Cologne for Men 4 / 4.0 oz Brand New In Box,Eau de Toilette,35.99,10.0,4520.0,162674.8,man,24-5-2024,United States,New Jersey,Hackensack
Dolce & Gabbana,New Parfums de Marly Kalan by Parfums de Marly 4.2 oz EDP Spray for Men Cologne,Eau de Parfum,82.99,3.0,5.0,414.95,man,22-5-2024,United States,New York,College Point
Versace,"Vyg Cologne, Vyg Perfume, Vyg Fragrance, Vyg Fragrances, Vyg Mens Perfume",Eau de Parfum,11.99,10.0,11.0,131.89,man,21-5-2024,United States,California,San Francisco
Giorgio Armani,New Giorgio Armani Acqua Di Gio 3.4 oz Men's Eau de Toilette Spray IN BOX US1,Eau de Toilette,28.99,9.0,111.0,3217.89,man,24-5-2024,United States,New York,College Point
Dolce & Gabbana,Montblanc Legend Spirit / MontBlanc EDT Spray 3.3 oz (100 ml) (m),Fragrances,35.71,3.0,30.0,1071.3,man,24-5-2024,United States,New York,Brooklyn
Dolce & Gabbana,ARMAF Men's Odyssey Mandarin Sky EDP Spray 3.4 oz Limited Edition Y1,Eau de Parfum,39.99,3.0,76.0,3039.24,man,24-5-2024,United States,California,Los Angeles
Giorgio Armani,Giorgio Armani Aqua Di Gio Men 3.4 oz EDT Aquatic Fresh Fragrance New,Eau de Toilette,29.99,10.0,410.0,12295.9,man,24-5-2024,United States,Michigan,Melvindale
Giorgio Armani,Ard Al Zaafaran Men's Midnight Oud EDP Spray 3.4 oz Fragrances 6205413337789,Fragrances,17.85,3.0,29.0,517.65,man,24-5-2024,United States,New York,Brooklyn
Yves Saint Laurent,Lagerfeld Classic 3.3 oz 100 ml EDT spray mens cologne NEW Tester,Eau de Toilette,16.91,6.0,825.0,13950.75,man,04-3-2024,United States,New Jersey,Edison
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz/110 ml Parfum Men's New & Sealed,Eau de Parfum,69.99,2.0,81.0,5669.19,man,18-5-2024,United States,Alabama,Thomasville
Ralph Lauren,HALLOWEEN MAN X EDT 4.2 OZ / 125 ML FOR MEN (NEW IN WHITE BOX),Eau de Toilette,30.99,10.0,866.0,26837.34,man,13-5-2024,United States,New York,Brooklyn
Versace,Sean John Unforgivable for Men EDT Cologne 4.2 oz,Eau de Toilette,29.99,10.0,471.0,14125.29,man,23-5-2024,United States,Florida,Miami
Yves Saint Laurent,YSL Yves Saint Laurent Y Eau de Perfume 3.3 oz 100ML Cologne Spray For Men,Eau de Parfum,39.99,3.0,9.0,359.91,man,21-5-2024,United States,California,Ontario
Dolce & Gabbana,K by Dolce & Gabbana cologne for men EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,36.36,226.0,771.0,28033.56,man,23-5-2024,United States,Texas,Dallas
Lancôme,Abercrombie & Fitch Fierce 6.7 oz/200 ml Eau de Cologne Brand New Sealed In Box,Eau de Cologne,49.99,7.0,916.0,45790.84,man,21-5-2024,United States,Michigan,Melvindale
Dolce & Gabbana,NAUTICA VOYAGE cologne for men EDT 6.7 oz 6.8 New in Box,Eau de Toilette,33.45,127.0,1391.0,46528.95,man,23-5-2024,United States,Texas,Dallas
Lancôme,Fierce By Abercrombie & Fitch 6.7 fl oz / 200 ML Cologne Spray Brand New In Box,Eau de Parfum,44.0,2.0,24.0,1056.0,man,20-5-2024,United States,Michigan,Warren
Giorgio Armani,JAGUAR CLASSIC BLACK by Jaguar cologne for men EDT 3.3 / 3.4 oz New in Box,Eau de Toilette,15.4,224.0,3942.0,60706.8,man,21-5-2024,United States,Texas,Dallas
Giorgio Armani,Long Lasting Fire Cologne for Men (Inspired by Fahrenheit) 3.4oz/100ml,Eau de Cologne,13.5,10.0,17.0,229.5,man,09-5-2024,United States,Florida,Hialeah
Dolce & Gabbana,"Light Blue Summer Vibes by Dolce & Gabbana, 4.2 oz EDT Spray for Men",Eau de Toilette,50.08,10.0,182.0,9114.56,man,24-5-2024,United States,New Jersey,Edison
Carolina Herrera,Jean Paul Gaultier Le Beau Eau De Toilette 5 ML spray For Men,Eau de Toilette,12.2,10.0,5.0,61.0,man,20-5-2024,United States,Florida,Miami
